"Make","Price","Year","Kilometer","Fuel Type","Transmission","Owner","Seller Type","Engine","Power","Torque","Drivetrain","Length","Width","Height","SeatingCapacity","TankCapacity"
"Volkswagen",484999,2013,78,"Diesel","Manual","Second","Individual",1199,74,180,"FWD",3970,1682,1453,"5",45
"Maruti Suzuki",415000,2014,57.402,"Petrol","Manual","First","Individual",1197,85,114,"FWD",3995,1695,1555,"5",42
"Hyundai",2e+05,2013,57,"Other","Manual","First","Individual",1086,62,96,"FWD",3565,1525,1590,"5",35
"Hyundai",375000,2015,87.5,"Petrol","Manual","First","Individual",1197,81,114,"FWD",3765,1660,1520,"5",43
"Tata",1375000,2021,16,"Other","Automatic","First","Individual",1693,130,246,"FWD",3993,1811,1606,"5",52
"Hyundai",1875000,2022,18,"Petrol","Automatic","First","Individual",1353,138,242,"FWD",4300,1790,1635,"5",50
"Audi",2950000,2020,10.7,"Petrol","Automatic","First","Individual",1984,188,320,"AWD",4318,1805,1548,"5",55
"Audi",4900000,2018,78,"Diesel","Automatic","First","Individual",2967,245,600,"AWD",5052,1968,1740,"<5",75
"Hyundai",1050000,2020,16.282,"Petrol","Automatic","First","Individual",998,118,172,"FWD",3995,1775,1505,"5",37
"Hyundai",470000,2013,66,"Diesel","Manual","Third or more","Individual",1582,126,260,"FWD",4370,1700,1475,"5",43
"Maruti Suzuki",345000,2017,72.019,"Petrol","Manual","Second","Individual",998,67,90,"FWD",3599,1495,1700,"5",35
"BMW",1490000,2013,195,"Diesel","Automatic","First","Individual",1995,184,380,"RWD",4899,2094,1464,"5",52
"Mahindra",550000,2007,92.17,"Diesel","Manual","Second","Individual",2609,116,277,"RWD",4495,1817,1975,"<5",60
"Hyundai",484999,2018,55.221,"Petrol","Manual","First","Individual",1197,81,114,"FWD",3765,1660,1520,"5",43
"Toyota",3350000,2018,25,"Diesel","Automatic","First","Individual",2755,174,450,"RWD",4795,1855,1835,"<5",80
"Audi",5651000,2022,0.001,"Petrol","Automatic","UnRegistered Car","Individual",1984,248,370,"AWD",4663,1898,1659,"5",70
"Renault",890000,2020,23.5,"Petrol","Manual","First","Individual",1498,105,142,"FWD",4360,1822,1695,"5",50
"Maruti Suzuki",325000,2012,68,"Petrol","Manual","Second","Individual",1197,85,114,"FWD",3995,1695,1555,"5",42
"Hyundai",1390000,2019,29.096,"Petrol","Automatic","First","Individual",1591,122,151,"FWD",4270,1780,1665,"5",55
"Hyundai",459999,2016,61.223,"Petrol","Manual","First","Individual",1197,81,114,"FWD",3765,1660,1520,"5",43
"Jeep",1075000,2017,86,"Diesel","Manual","First","Individual",1956,171,350,"FWD",4395,1818,1640,"5",60
"Hyundai",484999,2013,87,"Diesel","Manual","First","Individual",1582,126,260,"FWD",4440,1729,1475,"5",45
"Hyundai",385000,2013,79.287,"Petrol","Manual","First","Individual",1197,83,114,"FWD",3995,1710,1505,"5",45
"Audi",3900000,2018,48.945,"Diesel","Automatic","First","Corporate",1968,190,400,"FWD",4933,1874,1455,"5",75
"Mahindra",1050000,2019,17,"Diesel","Manual","First","Individual",1497,121,300,"FWD",4585,1866,1774,"<5",45
"Kia",1575000,2019,55,"Diesel","Manual","First","Individual",1493,113,250,"FWD",4315,1800,1645,"5",50
"Maruti Suzuki",655000,2016,38.779,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3995,1745,1500,"5",37
"Mercedes-Benz",4500000,2019,72,"Diesel","Automatic","First","Individual",1950,192,400,"RWD",5063,1860,1494,"5",80
"Maruti Suzuki",865000,2016,67,"Diesel","Manual","First","Individual",1248,89,200,"FWD",4296,1695,1685,"<5",45
"Hyundai",699000,2017,67,"Petrol","Manual","First","Individual",1591,121,158,"FWD",4370,1700,1475,"5",43
"Hyundai",425000,2012,70,"Diesel","Manual","Second","Individual",1582,126,260,"FWD",4370,1700,1475,"5",43
"Land Rover",6500000,2020,6,"Diesel","Automatic","First","Individual",1999,177,430,"AWD",4600,2069,1724,"<5",70
"Toyota",2900000,2017,46,"Diesel","Automatic","First","Individual",2755,174,450,"RWD",4795,1855,1835,"<5",80
"Mercedes-Benz",4550000,2017,34,"Diesel","Automatic","First","Individual",2143,201,500,"AWD",4819,2141,1796,"5",93
"Hyundai",490000,2015,23.103,"Petrol","Manual","First","Individual",1197,81,114,"FWD",3995,1660,1520,"5",43
"Mercedes-Benz",11500000,2016,27,"Petrol","Automatic","First","Individual",4663,453,700,"RWD",5453,1899,1498,">5",70
"Hyundai",1475000,2019,9.576,"Petrol","Automatic","First","Individual",1591,122,151,"FWD",4270,1780,1665,"5",55
"MG",1729000,2020,27,"Petrol","Automatic","First","Individual",1451,141,250,"FWD",4655,1835,1760,"5",60
"MG",1764999,2021,1.942,"Petrol","Automatic","First","Individual",1498,108,144,"FWD",4323,1809,1650,"5",48
"Honda",250000,2006,119.3,"Petrol","Automatic","Third or more","Individual",2354,152,215,"AWD",4630,1780,1710,"5",58
"Maruti Suzuki",245000,2016,55,"Petrol","Manual","First","Individual",796,47,69,"FWD",3395,1490,1475,"5",35
"Renault",490000,2015,98,"Diesel","Manual","Second","Individual",1461,84,200,"FWD",4315,1822,1695,"5",50
"Hyundai",550000,2017,61.4,"Petrol","Manual","First","Individual",1197,81,114,"FWD",3765,1660,1520,"5",43
"Honda",675000,2016,87.693,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Mercedes-Benz",2225000,2015,31,"Petrol","Automatic","First","Individual",1991,181,300,"RWD",4686,1810,1442,"5",66
"Hyundai",560000,2016,75.21,"Diesel","Manual","First","Individual",1396,89,220,"FWD",3985,1734,1505,"5",40
"Skoda",225000,2012,69,"Petrol","Manual","First","Individual",1598,105,153,"FWD",4000,1642,1522,"5",45
"Skoda",499000,2014,88,"Diesel","Automatic","Second","Individual",1498,103,250,"FWD",4386,1699,1466,"5",55
"Kia",1055000,2020,15,"Petrol","Automatic","First","Individual",998,118,172,"FWD",3995,1790,1647,"5",45
"Mahindra",2048999,2020,45.35,"Diesel","Automatic","First","Individual",2179,153,360,"FWD",4585,1890,1785,"<5",70
"BMW",2775000,2018,68.189,"Diesel","Automatic","First","Individual",1995,188,400,"RWD",4633,1811,1429,"5",57
"Mercedes-Benz",1650000,2015,75,"Diesel","Automatic","First","Individual",2143,134,300,"FWD",4417,1804,1494,"5",50
"Maruti Suzuki",350000,2013,45,"Petrol","Manual","First","Individual",998,68,90,"FWD",3539,1495,1700,"5",35
"Audi",1450000,2014,33,"Diesel","Automatic","Second","Individual",1968,177,380,"FWD",4915,1874,1455,"5",65
"Mahindra",6e+05,2014,83,"Diesel","Manual","Second","Individual",2179,120,290,"RWD",4430,1817,1975,"<5",60
"BMW",1250000,2012,78,"Diesel","Automatic","First","Individual",1995,184,380,"RWD",4899,2094,1464,"5",52
"Toyota",1675000,2014,211,"Diesel","Manual","First","Individual",2982,169,343,"AWD",4705,1840,1850,"<5",80
"Hyundai",575000,2015,67,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Ford",699000,2017,75,"Diesel","Manual","First","Individual",1498,99,205,"FWD",3999,1765,1708,"5",52
"Audi",2450000,2014,48.6,"Diesel","Automatic","Second","Individual",2967,241,550,"AWD",5089,1983,1737,"<5",100
"Mercedes-Benz",2775000,2016,48,"Diesel","Automatic","First","Individual",2143,204,500,"RWD",4686,1810,1442,"5",66
"Maruti Suzuki",430000,2020,5.79,"Petrol","Manual","First","Individual",998,67,90,"FWD",3565,1520,1564,"5",27
"Mahindra",1165000,2018,32,"Diesel","Manual","First","Individual",2179,120,280,"RWD",4456,1820,1995,"<5",60
"MG",1780000,2020,65.433,"Diesel","Manual","First","Individual",1956,169,350,"FWD",4655,1835,1760,"5",60
"Maruti Suzuki",295000,2011,87.23,"Diesel","Manual","First","Individual",1248,75,190,"FWD",3760,1690,1530,"5",43
"Maruti Suzuki",495000,2017,38.258,"Diesel","Manual","Second","Individual",1248,74,190,"FWD",3840,1735,1530,"5",37
"Honda",975000,2019,56.881,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Toyota",645000,2013,76,"Diesel","Manual","Second","Individual",2494,102,200,"FWD",4555,1770,1755,"<5",55
"Renault",425000,2014,72,"Diesel","Manual","Second","Individual",1461,108,248,"FWD",4315,1822,1695,"5",50
"Audi",1350000,2012,72,"Diesel","Automatic","UnRegistered Car","Individual",1968,174,380,"AWD",4385,1831,1608,"5",64
"Mercedes-Benz",3200000,2014,60.514,"Diesel","Automatic","First","Individual",2987,234,535,"AWD",4781,1911,1774,"5",95
"Volvo",1250000,2013,71.141,"Diesel","Automatic","First","Individual",1984,150,350,"FWD",4370,1783,1458,"5",60
"BMW",5600000,2018,40.937,"Diesel","Automatic","First","Individual",2993,258,560,"RWD",4899,2094,1464,"5",65
"Maruti Suzuki",560000,2013,37,"Diesel","Manual","First","Individual",1248,74,190,"FWD",3995,1695,1555,"5",42
"Mahindra",1221000,2019,46,"Diesel","Manual","First","Individual",2179,120,280,"RWD",4456,1820,1995,"<5",60
"BMW",2975000,2015,86.999,"Diesel","Automatic","First","Individual",2993,258,560,"AWD",4886,1938,1762,"5",52
"Honda",295000,2009,70.2,"Petrol","Automatic","Second","Individual",1497,118,146,"FWD",4420,1695,1480,"5",42
"Mercedes-Benz",1300000,2012,64.8,"Petrol","Automatic","First","Individual",1796,186,285,"RWD",4596,1770,1447,"5",66
"Hyundai",950000,2016,73,"Diesel","Automatic","First","Individual",1582,126,265,"FWD",4270,1780,1630,"5",60
"Mercedes-Benz",1350000,2012,72,"Diesel","Automatic","Second","Individual",2987,231,540,"RWD",4868,1854,1471,"5",80
"Mercedes-Benz",2682000,2015,76.345,"Diesel","Automatic","First","Individual",2997,254,619,"AWD",4804,2141,1796,"5",70
"Maruti Suzuki",286000,2017,40.564,"Petrol","Manual","First","Individual",796,47,69,"FWD",3395,1490,1475,"5",35
"Hyundai",340000,2013,98.5,"Diesel","Manual","First","Individual",1336,89,220,"FWD",3995,1710,1505,"5",45
"Skoda",1125000,2020,46.807,"Petrol","Automatic","First","Individual",999,109,175,"FWD",4413,1699,1466,"5",55
"Tata",580000,2018,81,"Petrol","Automatic","First","Individual",1198,108,170,"FWD",3994,1811,1607,"5",44
"Maruti Suzuki",495000,2015,13.716,"Petrol","Manual","First","Individual",1197,85,114,"FWD",3995,1695,1555,"5",42
"Maruti Suzuki",550000,2014,89,"Diesel","Manual","First","Individual",1248,74,190,"FWD",3995,1695,1555,"5",42
"Kia",1485000,2021,13,"Diesel","Automatic","First","Individual",1493,113,250,"FWD",3995,1790,1647,"5",45
"Skoda",885000,2018,38,"Petrol","Manual","First","Individual",1598,104,153,"FWD",4413,1699,1466,"5",55
"Audi",3650000,2012,25.5,"Petrol","Automatic","Second","Corporate",4163,444,430,"AWD",4649,1860,1366,"5",64
"Hyundai",715000,2020,17,"Petrol","Automatic","First","Individual",1197,82,114,"FWD",3805,1680,1520,"5",37
"Mercedes-Benz",2485000,2012,44.724,"Petrol","Automatic","First","Individual",3496,272,350,"AWD",5157,2183,1659,"<5",80
"Toyota",2250000,2020,24.549,"Diesel","Manual","Second","Individual",2393,148,343,"RWD",4735,1830,1795,"<5",55
"Hyundai",1050000,2017,97,"Diesel","Automatic","First","Corporate",1582,126,265,"FWD",4270,1780,1630,"5",60
"Toyota",3600000,2018,7.8,"Diesel","Automatic","First","Individual",2755,174,450,"RWD",4795,1855,1835,"<5",80
"Honda",295000,2010,78,"Petrol","Manual","First","Corporate",1497,118,146,"FWD",4420,1695,1480,"5",42
"Renault",375000,2019,55,"Petrol","Manual","First","Individual",799,53,72,"FWD",3679,1579,1478,"5",28
"Audi",7200000,2021,20,"Petrol","Automatic","UnRegistered Car","Individual",1984,180,320,"FWD",4915,1874,1455,"5",75
"Tata",2395000,2021,13.594,"Diesel","Automatic","First","Individual",1956,168,350,"FWD",4661,1894,1786,"<5",50
"Audi",1775000,2014,75,"Diesel","Automatic","First","Individual",1968,177,380,"FWD",4915,1874,1455,"5",65
"Maruti Suzuki",275000,2011,65,"Diesel","Manual","First","Individual",1248,75,190,"FWD",3715,1680,1620,"5",43
"Honda",325000,2014,43.037,"Petrol","Manual","First","Individual",1198,87,109,"FWD",3610,1680,1500,"5",35
"Maruti Suzuki",425000,2013,26,"Diesel","Manual","First","Individual",1248,74,190,"FWD",3850,1695,1530,"5",42
"Mahindra",1475000,2020,78,"Diesel","Manual","First","Individual",2179,140,320,"RWD",4456,1820,1995,"<5",60
"Toyota",1580000,2018,115,"Diesel","Automatic","First","Individual",2755,172,360,"RWD",4735,1830,1795,"<5",55
"Honda",869000,2021,8.7,"Petrol","Automatic","First","Individual",1199,89,110,"FWD",3995,1695,1501,"5",35
"Mercedes-Benz",5850000,2019,31,"Diesel","Automatic","First","Corporate",2143,201,500,"AWD",4819,2141,1796,"5",93
"Jeep",1900000,2020,41.736,"Diesel","Automatic","First","Individual",1956,171,350,"AWD",4395,1818,1640,"5",60
"Maserati",9e+06,2017,40,"Diesel","Automatic","Second","Individual",2979,275,600,"AWD",5005,1981,1693,"5",80
"Toyota",3550000,2020,55,"Diesel","Automatic","First","Corporate",2755,174,450,"RWD",4795,1855,1835,"<5",80
"Porsche",3500000,2014,160,"Petrol","Automatic","First","Individual",4806,500,700,"AWD",4846,1939,1702,"5",100
"Toyota",2425000,2022,11,"Diesel","Automatic","First","Individual",2393,148,360,"RWD",4735,1830,1795,"<5",55
